term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/XPO_0101790,abnormal morphology of neuromere ,Any structural anomaly of the neuromere.,abnormal shape of neuromere
http://purl.obolibrary.org/obo/XPO_0100748,abnormal rhombic lip,Abnormality of rhombic lip.,abnormality of rhombic lip
http://purl.obolibrary.org/obo/XPO_0100836,abnormal dorsal fin vasculature,Abnormality of dorsal fin vasculature.,abnormality of dorsal fin vasculature
http://purl.obolibrary.org/obo/XPO_0100924,abnormal spermatozoon,Abnormality of spermatozoon.,abnormality of spermatozoon
http://purl.obolibrary.org/obo/XPO_0107303,abnormal migratory trunk neural crest cell,Abnormality of migratory trunk neural crest cell.,abnormality of migratory trunk neural crest cell
http://purl.obolibrary.org/obo/XPO_0101489,abnormal mesonephric late proximal tubule,Abnormality of mesonephric late proximal tubule.,abnormality of mesonephric late proximal tubule
http://purl.obolibrary.org/obo/XPO_0101577,abnormal notochordal epithelium,Abnormality of notochordal epithelium.,abnormality of notochordal epithelium
http://purl.obolibrary.org/obo/XPO_0101665,abnormal morphology of fundus ,Any structural anomaly of the fundus.,abnormal shape of fundus
http://purl.obolibrary.org/obo/XPO_0101753,abnormal morphology of endochondral bone ,Any structural anomaly of the endochondral bone.,abnormal shape of endochondral bone
http://purl.obolibrary.org/obo/XPO_0102494,abnormal morphology of blastomere V1 ,Any structural anomaly of the blastomere V1.,abnormal shape of blastomere V1
http://purl.obolibrary.org/obo/XPO_0102582,abnormal morphology of pronephric nephron ,Any structural anomaly of the pronephric nephron.,abnormal shape of pronephric nephron
http://purl.obolibrary.org/obo/XPO_0102670,abnormal morphology of hyomandibular lateral line ,Any structural anomaly of the hyomandibular lateral line.,abnormal shape of hyomandibular lateral line
http://purl.obolibrary.org/obo/XPO_0101716,abnormal morphology of anatomical group ,Any structural anomaly of the anatomical group.,abnormal shape of anatomical group
http://purl.obolibrary.org/obo/XPO_0101804,abnormal morphology of stem cell ,Any structural anomaly of the stem cell.,abnormal shape of stem cell
http://purl.obolibrary.org/obo/XPO_0102369,abnormal morphology of epiphysis ,Any structural anomaly of the epiphysis.,abnormal shape of epiphysis
http://purl.obolibrary.org/obo/XPO_0102457,abnormal morphology of claw of hindlimb digit 2 ,Any structural anomaly of the claw of hindlimb digit 2.,abnormal shape of claw of hindlimb digit 2
http://purl.obolibrary.org/obo/XPO_0102545,abnormal morphology of Brachet's cleft ,Any structural anomaly of the Brachet's cleft.,abnormal shape of Brachet's cleft
http://purl.obolibrary.org/obo/XPO_0102633,abnormal morphology of ventricular zone ,Any structural anomaly of the ventricular zone.,abnormal shape of ventricular zone
http://purl.obolibrary.org/obo/XPO_0102721,abnormal morphology of pylorus ,Any structural anomaly of the pylorus.,abnormal shape of pylorus
http://purl.obolibrary.org/obo/XPO_0103198,abnormal morphology of posterior lateral line ,Any structural anomaly of the posterior lateral line.,abnormal shape of posterior lateral line
http://purl.obolibrary.org/obo/XPO_0103286,absent head,Absence of head.,missing head
http://purl.obolibrary.org/obo/XPO_0103374,increased size of the cement gland,An increase in the size of the cement gland.,enlarged cement gland
http://purl.obolibrary.org/obo/XPO_0103462,bifurcated hindlimb digit 3,Bifurcation of the hindlimb digit 3.,hindlimb digit 3 bifurcation
http://purl.obolibrary.org/obo/XPO_0102508,abnormal morphology of m. levator mandibulae longus superior primordium ,Any structural anomaly of the m. levator mandibulae longus superior primordium.,abnormal shape of m. levator mandibulae longus superior primordium
http://purl.obolibrary.org/obo/XPO_0103337,decreased size of the eye primordium,An abnormal reduction in the size of the eye primordium.,abnormally small eye primordium
http://purl.obolibrary.org/obo/XPO_0103425,decreased size of the right atrium,An abnormal reduction in the size of the right atrium.,abnormally small right atrium
http://purl.obolibrary.org/obo/XPO_0103601,whole organism abnormally curved dorsally,Any abnormal whole organism that is curved dorsally.,curved dorsal whole organism
http://purl.obolibrary.org/obo/XPO_0100590,abnormal hypothalamus,Abnormality of hypothalamus.,abnormality of hypothalamus
http://purl.obolibrary.org/obo/XPO_0100289,abnormal chondroblast,Abnormality of chondroblast.,abnormality of chondroblast
http://purl.obolibrary.org/obo/XPO_0100377,abnormal connective tissue,Abnormality of connective tissue.,abnormality of connective tissue
http://purl.obolibrary.org/obo/XPO_0100465,abnormal skeletal system,Abnormality of skeletal system.,abnormality of skeletal system
http://purl.obolibrary.org/obo/XPO_0100553,abnormal laryngeal muscle primordium,Abnormality of laryngeal muscle primordium.,abnormality of laryngeal muscle primordium
http://purl.obolibrary.org/obo/XPO_0100641,abnormal metencephalic vein,Abnormality of metencephalic vein.,abnormality of metencephalic vein
http://purl.obolibrary.org/obo/XPO_0101294,abnormal branchial arch skeleton 2,Abnormality of branchial arch skeleton 2.,abnormality of branchial arch skeleton 2
http://purl.obolibrary.org/obo/XPO_0101382,abnormal chordoneural hinge,Abnormality of chordoneural hinge.,abnormality of chordoneural hinge
http://purl.obolibrary.org/obo/XPO_0101470,abnormal anterior amygdala,Abnormality of anterior amygdala.,abnormality of anterior amygdala
http://purl.obolibrary.org/obo/XPO_0100428,abnormal anterior crista,Abnormality of anterior crista.,abnormality of anterior crista
http://purl.obolibrary.org/obo/XPO_0115826,abnormal duplication of hindlimb stylopod ,Any abnormal duplication of the hindlimb stylopod.,abnormally duplicated hindlimb stylopod
http://purl.obolibrary.org/obo/XPO_0115826,abnormal duplication of hindlimb stylopod ,Any abnormal duplication of the hindlimb stylopod.,abnormal duplication of hindlimb stylopod
http://purl.obolibrary.org/obo/XPO_0100516,abnormal cerebellum,Abnormality of cerebellum.,abnormality of cerebellum
http://purl.obolibrary.org/obo/XPO_0100604,abnormal m. geniohyoideus primordium,Abnormality of m. geniohyoideus primordium.,abnormality of m. geniohyoideus primordium
http://purl.obolibrary.org/obo/XPO_0101169,abnormal hepato-pancreatic duct,Abnormality of hepato-pancreatic duct.,abnormality of hepato-pancreatic duct
http://purl.obolibrary.org/obo/XPO_0101257,abnormal coeliaco-mesenteric artery,Abnormality of coeliaco-mesenteric artery.,abnormality of coeliaco-mesenteric artery
http://purl.obolibrary.org/obo/XPO_0101345,abnormal ascending interneuron,Abnormality of ascending interneuron.,abnormality of ascending interneuron
http://purl.obolibrary.org/obo/XPO_0101521,abnormal ventral tegmentum,Abnormality of ventral tegmentum.,abnormality of ventral tegmentum
http://purl.obolibrary.org/obo/XPO_0102086,abnormal morphology of lung bud ,Any structural anomaly of the lung bud.,abnormal shape of lung bud
http://purl.obolibrary.org/obo/XPO_0102174,abnormal morphology of pallium ,Any structural anomaly of the pallium.,abnormal shape of pallium
http://purl.obolibrary.org/obo/XPO_0102262,abnormal morphology of neurocoel ,Any structural anomaly of the neurocoel.,abnormal shape of neurocoel
http://purl.obolibrary.org/obo/XPO_0102350,abnormal morphology of ventral pancreatic bud ,Any structural anomaly of the ventral pancreatic bud.,abnormal shape of ventral pancreatic bud
http://purl.obolibrary.org/obo/XPO_0101308,abnormal processus articularis palatoquadrati,Abnormality of processus articularis palatoquadrati.,abnormality of processus articularis palatoquadrati
http://purl.obolibrary.org/obo/XPO_0103091,abnormal morphology of arteria iliaca communis ,Any structural anomaly of the arteria iliaca communis.,abnormal shape of arteria iliaca communis
http://purl.obolibrary.org/obo/XPO_0102049,abnormal morphology of dense regular connective tissue ,Any structural anomaly of the dense regular connective tissue.,abnormal shape of dense regular connective tissue
http://purl.obolibrary.org/obo/XPO_0102225,abnormal morphology of cerebral artery ,Any structural anomaly of the cerebral artery.,abnormal shape of cerebral artery
http://purl.obolibrary.org/obo/XPO_0102313,abnormal morphology of myotome of tail somite 16 ,Any structural anomaly of the myotome of tail somite 16.,abnormal shape of myotome of tail somite 16
http://purl.obolibrary.org/obo/XPO_0102401,abnormal morphology of neurocranium ,Any structural anomaly of the neurocranium.,abnormal shape of neurocranium
http://purl.obolibrary.org/obo/XPO_0103054,abnormal morphology of myotome of tail somite 15 ,Any structural anomaly of the myotome of tail somite 15.,abnormal shape of myotome of tail somite 15
http://purl.obolibrary.org/obo/XPO_0103142,abnormal morphology of optic nerve ,Any structural anomaly of the optic nerve.,abnormal shape of optic nerve
http://purl.obolibrary.org/obo/XPO_0103230,abnormal morphology of left ventricle ,Any structural anomaly of the left ventricle.,abnormal shape of left ventricle
http://purl.obolibrary.org/obo/XPO_0103017,abnormal morphology of myotome of trunk somite 9 ,Any structural anomaly of the myotome of trunk somite 9.,abnormal shape of myotome of trunk somite 9
http://purl.obolibrary.org/obo/XPO_0103105,abnormal morphology of pars media of the stapes ,Any structural anomaly of the pars media of the stapes.,abnormal shape of pars media of the stapes
http://purl.obolibrary.org/obo/XPO_0107397,abnormal morphology of right olfactory pit ,Any structural anomaly of the right olfactory pit.,abnormal shape of right olfactory pit
http://purl.obolibrary.org/obo/XPO_0101898,abnormal morphology of trunk neural crest ,Any structural anomaly of the trunk neural crest.,abnormal shape of trunk neural crest
http://purl.obolibrary.org/obo/XPO_0101986,abnormal morphology of amygdala ,Any structural anomaly of the amygdala.,abnormal shape of amygdala
http://purl.obolibrary.org/obo/XPO_0102991,abnormal morphology of hyaloid artery ,Any structural anomaly of the hyaloid artery.,abnormal shape of hyaloid artery
http://purl.obolibrary.org/obo/XPO_0100182,abnormal hindlimb bud,Abnormality of hindlimb bud.,abnormality of hindlimb bud
http://purl.obolibrary.org/obo/XPO_0100270,abnormal mesonephric tubule,Abnormality of mesonephric tubule.,abnormality of mesonephric tubule
http://purl.obolibrary.org/obo/XPO_0101949,abnormal morphology of respiratory system ,Any structural anomaly of the respiratory system.,abnormal shape of respiratory system
http://purl.obolibrary.org/obo/XPO_0102778,abnormal morphology of odontode tissue ,Any structural anomaly of the odontode tissue.,abnormal shape of odontode tissue
http://purl.obolibrary.org/obo/XPO_0102866,abnormal morphology of gasserian ganglion ,Any structural anomaly of the gasserian ganglion.,abnormal shape of gasserian ganglion
http://purl.obolibrary.org/obo/XPO_0102954,abnormal morphology of iridophore ,Any structural anomaly of the iridophore.,abnormal shape of iridophore
http://purl.obolibrary.org/obo/XPO_0100057,abnormal sclerotome of trunk somite 9,Abnormality of sclerotome of trunk somite 9.,abnormality of sclerotome of trunk somite 9
http://purl.obolibrary.org/obo/XPO_0100233,abnormal pars nervosa,Abnormality of pars nervosa.,abnormality of pars nervosa
http://purl.obolibrary.org/obo/XPO_0100321,abnormal eye muscle,Abnormality of eye muscle.,abnormality of eye muscle
http://purl.obolibrary.org/obo/XPO_0103695,Absent perichondrium in the regenerating forelimb,Absence of the perichondrium in the regenerating forelimb.,Missing perichondrium in the regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0101062,"abnormal animal part, late involuting","Abnormality of animal part, late involuting.","abnormality of animal part, late involuting"
http://purl.obolibrary.org/obo/XPO_0101150,abnormal infrarostral,Abnormality of infrarostral.,abnormality of infrarostral
http://purl.obolibrary.org/obo/XPO_0102829,abnormal morphology of sclerotome of head somite 4 ,Any structural anomaly of the sclerotome of head somite 4.,abnormal shape of sclerotome of head somite 4
http://purl.obolibrary.org/obo/XPO_0102917,abnormal morphology of rostral presomitic mesoderm ,Any structural anomaly of the rostral presomitic mesoderm.,abnormal shape of rostral presomitic mesoderm
http://purl.obolibrary.org/obo/XPO_0100108,abnormal cell part,Abnormality of cell part.,abnormality of cell part
http://purl.obolibrary.org/obo/XPO_0103658,abnormally formed left eye,An abnormally formed/malformed left eye.,malformed left eye
http://purl.obolibrary.org/obo/XPO_0103746,increased size of the tail,An increase in the size of the tail.,enlarged tail
http://purl.obolibrary.org/obo/XPO_0103834,Decreased number of metacarpus in the regenerating forelimb,The presence of a reduced number of metacarpus in the regenerating forelimb.,Reduced number of metacarpus in the regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0101025,abnormal conjunctiva,Abnormality of conjunctiva.,abnormality of conjunctiva
http://purl.obolibrary.org/obo/XPO_0101113,abnormal stage IV oocyte,Abnormality of stage IV oocyte.,abnormality of stage IV oocyte
http://purl.obolibrary.org/obo/XPO_0101201,abnormal isthmic nucleus,Abnormality of isthmic nucleus.,abnormality of isthmic nucleus
http://purl.obolibrary.org/obo/XPO_0102030,abnormal morphology of vegetal blastomere ,Any structural anomaly of the vegetal blastomere.,abnormal shape of vegetal blastomere
http://purl.obolibrary.org/obo/XPO_0103709,increased pigmentation in the trunk,Increased or increasing of pigmentation of trunk.,trunk hyperpigmentation
http://purl.obolibrary.org/obo/XPO_0103709,increased pigmentation in the trunk,Increased or increasing of pigmentation of trunk.,increasing of pigment in the trunk
http://purl.obolibrary.org/obo/XPO_0107290,"abnormal ionocyte, alpha subtype","Abnormality of ionocyte, alpha subtype.","abnormality of ionocyte, alpha subtype"
http://purl.obolibrary.org/obo/XPO_0100698,abnormal optic stalk,Abnormality of optic stalk.,abnormality of optic stalk
http://purl.obolibrary.org/obo/XPO_0100786,abnormal presumptive axial mesoderm,Abnormality of presumptive axial mesoderm.,abnormality of presumptive axial mesoderm
http://purl.obolibrary.org/obo/XPO_0100874,abnormal occipital lateral line,Abnormality of occipital lateral line.,abnormality of occipital lateral line
http://purl.obolibrary.org/obo/XPO_0107253,abnormal enteric nervous system,Abnormality of enteric nervous system.,abnormality of enteric nervous system
http://purl.obolibrary.org/obo/XPO_0100962,abnormal dorsal thalamus,Abnormality of dorsal thalamus.,abnormality of dorsal thalamus
http://purl.obolibrary.org/obo/XPO_0107341,abnormal morphology of neutrophil ,Any structural anomaly of the neutrophil.,abnormal shape of neutrophil
http://purl.obolibrary.org/obo/XPO_0100749,abnormal mucociliary epithelium,Abnormality of mucociliary epithelium.,abnormality of mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0100837,abnormal atrioventricular canal,Abnormality of atrioventricular canal.,abnormality of atrioventricular canal
http://purl.obolibrary.org/obo/XPO_0100925,abnormal visceral pouch 5,Abnormality of visceral pouch 5.,abnormality of visceral pouch 5
http://purl.obolibrary.org/obo/XPO_0107304,abnormal hindgut endoderm,Abnormality of hindgut endoderm.,abnormality of hindgut endoderm
http://purl.obolibrary.org/obo/XPO_0101578,abnormal pupil,Abnormality of pupil.,abnormality of pupil
http://purl.obolibrary.org/obo/XPO_0101666,abnormal morphology of blastomere V1.1 ,Any structural anomaly of the blastomere V1.1.,abnormal shape of blastomere V1.1
http://purl.obolibrary.org/obo/XPO_0101842,abnormal morphology of pulmonary artery ,Any structural anomaly of the pulmonary artery.,abnormal shape of pulmonary artery
http://purl.obolibrary.org/obo/XPO_0101930,abnormal morphology of humerus ,Any structural anomaly of the humerus.,abnormal shape of humerus
http://purl.obolibrary.org/obo/XPO_0102495,abnormal morphology of spinal neuron ,Any structural anomaly of the spinal neuron.,abnormal shape of spinal neuron
http://purl.obolibrary.org/obo/XPO_0102583,abnormal morphology of adenohypophysis ,Any structural anomaly of the adenohypophysis.,abnormal shape of adenohypophysis
http://purl.obolibrary.org/obo/XPO_0102671,abnormal morphology of glomeral nexus ,Any structural anomaly of the glomeral nexus.,abnormal shape of glomeral nexus
http://purl.obolibrary.org/obo/XPO_0101717,abnormal morphology of mesonephric sinus ,Any structural anomaly of the mesonephric sinus.,abnormal shape of mesonephric sinus
http://purl.obolibrary.org/obo/XPO_0101805,abnormal morphology of pallidum ,Any structural anomaly of the pallidum.,abnormal shape of pallidum
http://purl.obolibrary.org/obo/XPO_0102458,abnormal morphology of m. rectus inferior primordium ,Any structural anomaly of the m. rectus inferior primordium.,abnormal shape of m. rectus inferior primordium
http://purl.obolibrary.org/obo/XPO_0102546,abnormal morphology of pars intermedia ,Any structural anomaly of the pars intermedia.,abnormal shape of pars intermedia
http://purl.obolibrary.org/obo/XPO_0102634,abnormal morphology of ventral mesoderm ,Any structural anomaly of the ventral mesoderm.,abnormal shape of ventral mesoderm
http://purl.obolibrary.org/obo/XPO_0102722,abnormal morphology of adrenal gland ,Any structural anomaly of the adrenal gland.,abnormal shape of adrenal gland
http://purl.obolibrary.org/obo/XPO_0102810,abnormal morphology of m. levator mandibulae longus profundus ,Any structural anomaly of the m. levator mandibulae longus profundus.,abnormal shape of m. levator mandibulae longus profundus
http://purl.obolibrary.org/obo/XPO_0103199,abnormal morphology of tongue ,Any structural anomaly of the tongue.,abnormal shape of tongue
http://purl.obolibrary.org/obo/XPO_0103287,absent hindlimb,Absence of hindlimb.,missing hindlimb
http://purl.obolibrary.org/obo/XPO_0103375,increased size of the central endoderm,An increase in the size of the central endoderm.,enlarged central endoderm
http://purl.obolibrary.org/obo/XPO_0103463,bifurcated hindlimb digit 4,Bifurcation of the hindlimb digit 4.,hindlimb digit 4 bifurcation
http://purl.obolibrary.org/obo/XPO_0102509,abnormal morphology of lateral septum ,Any structural anomaly of the lateral septum.,abnormal shape of lateral septum
http://purl.obolibrary.org/obo/XPO_0103338,decreased size of the fin,An abnormal reduction in the size of the fin.,abnormally small fin
http://purl.obolibrary.org/obo/XPO_0103426,decreased size of the somite,An abnormal reduction in the size of the somite.,abnormally small somite
http://purl.obolibrary.org/obo/XPO_0103602,"abnormal anterior-posterior axis, curved dorsal ",Any abnormal anterior-posterior axis that is curved dorsally.,curved dorsal anterior-posterior axis
http://purl.obolibrary.org/obo/XPO_0100591,abnormal pharyngeal arch,Abnormality of pharyngeal arch.,abnormality of pharyngeal arch
http://purl.obolibrary.org/obo/XPO_0100378,abnormal perichondrium,Abnormality of perichondrium.,abnormality of perichondrium
http://purl.obolibrary.org/obo/XPO_0115776,abnormal duplication of apical ectodermal ridge ,Any abnormal duplication of the apical ectodermal ridge.,abnormally duplicated apical ectodermal ridge
http://purl.obolibrary.org/obo/XPO_0115777,abnormal duplication of apical ectodermal ridge ,Any abnormal duplication of the apical ectodermal ridge.,abnormally duplicated apical ectodermal ridge
http://purl.obolibrary.org/obo/XPO_0100466,abnormal limb bud,Abnormality of limb bud.,abnormality of limb bud
http://purl.obolibrary.org/obo/XPO_0100554,abnormal hatching gland,Abnormality of hatching gland.,abnormality of hatching gland
http://purl.obolibrary.org/obo/XPO_0100642,abnormal gustatory system,Abnormality of gustatory system.,abnormality of gustatory system
http://purl.obolibrary.org/obo/XPO_0100730,abnormal m. subarcualis rectus I,Abnormality of m. subarcualis rectus I.,abnormality of m. subarcualis rectus I
http://purl.obolibrary.org/obo/XPO_0101295,abnormal claw of hindlimb digit 1,Abnormality of claw of hindlimb digit 1.,abnormality of claw of hindlimb digit 1
http://purl.obolibrary.org/obo/XPO_0101383,abnormal anterior semicircular canal,Abnormality of anterior semicircular canal.,abnormality of anterior semicircular canal
http://purl.obolibrary.org/obo/XPO_0101471,abnormal rectum,Abnormality of rectum.,abnormality of rectum
http://purl.obolibrary.org/obo/XPO_0100429,abnormal spermatid,Abnormality of spermatid.,abnormality of spermatid
http://purl.obolibrary.org/obo/XPO_0115827,abnormal duplication of hindlimb zeugopod ,Any abnormal duplication of the hindlimb zeugopod.,abnormally duplicated hindlimb zeugopod
http://purl.obolibrary.org/obo/XPO_0115827,abnormal duplication of hindlimb zeugopod ,Any abnormal duplication of the hindlimb zeugopod.,abnormal duplication of hindlimb zeugopod
http://purl.obolibrary.org/obo/XPO_0100517,abnormal mineralized bone tissue,Abnormality of mineralized bone tissue.,abnormality of mineralized bone tissue
http://purl.obolibrary.org/obo/XPO_0100605,abnormal prechordal plate,Abnormality of prechordal plate.,abnormality of prechordal plate
http://purl.obolibrary.org/obo/XPO_0101258,abnormal dentine,Abnormality of dentine.,abnormality of dentine
http://purl.obolibrary.org/obo/XPO_0101346,abnormal prosomere 6,Abnormality of prosomere 6.,abnormality of prosomere 6
http://purl.obolibrary.org/obo/XPO_0101522,abnormal m. rectus posterior,Abnormality of m. rectus posterior.,abnormality of m. rectus posterior
http://purl.obolibrary.org/obo/XPO_0102087,abnormal morphology of optic field ,Any structural anomaly of the optic field.,abnormal shape of optic field
http://purl.obolibrary.org/obo/XPO_0102175,abnormal morphology of m. dilatator laryngis primordium ,Any structural anomaly of the m. dilatator laryngis primordium.,abnormal shape of m. dilatator laryngis primordium
http://purl.obolibrary.org/obo/XPO_0102263,abnormal morphology of anterodorsal lateral line placode ,Any structural anomaly of the anterodorsal lateral line placode.,abnormal shape of anterodorsal lateral line placode
http://purl.obolibrary.org/obo/XPO_0102351,abnormal morphology of sphenoid region ,Any structural anomaly of the sphenoid region.,abnormal shape of sphenoid region
http://purl.obolibrary.org/obo/XPO_0101309,abnormal colon,Abnormality of colon.,abnormality of colon
http://purl.obolibrary.org/obo/XPO_0103092,abnormal morphology of fibrocellular pad ,Any structural anomaly of the fibrocellular pad.,abnormal shape of fibrocellular pad
http://purl.obolibrary.org/obo/XPO_0103180,abnormal morphology of pulmonary vein ,Any structural anomaly of the pulmonary vein.,abnormal shape of pulmonary vein
http://purl.obolibrary.org/obo/XPO_0102226,abnormal morphology of Jacobson's organ ,Any structural anomaly of the Jacobson's organ.,abnormal shape of Jacobson's organ
http://purl.obolibrary.org/obo/XPO_0102314,abnormal morphology of iliofibularis ,Any structural anomaly of the iliofibularis.,abnormal shape of iliofibularis
http://purl.obolibrary.org/obo/XPO_0102402,abnormal morphology of m. rectus superior primordium ,Any structural anomaly of the m. rectus superior primordium.,abnormal shape of m. rectus superior primordium
http://purl.obolibrary.org/obo/XPO_0103055,abnormal morphology of posterodorsal tegmental nucleus ,Any structural anomaly of the posterodorsal tegmental nucleus.,abnormal shape of posterodorsal tegmental nucleus
http://purl.obolibrary.org/obo/XPO_0103143,abnormal morphology of myocoelic slit ,Any structural anomaly of the myocoelic slit.,abnormal shape of myocoelic slit
http://purl.obolibrary.org/obo/XPO_0103231,abnormal morphology of raphe nucleus ,Any structural anomaly of the raphe nucleus.,abnormal shape of raphe nucleus
http://purl.obolibrary.org/obo/XPO_0103018,abnormal morphology of gall bladder ,Any structural anomaly of the gall bladder.,abnormal shape of gall bladder
http://purl.obolibrary.org/obo/XPO_0103106,abnormal morphology of aortic arch 5 ,Any structural anomaly of the aortic arch 5.,abnormal shape of aortic arch 5
http://purl.obolibrary.org/obo/XPO_0107398,abnormal morphology of apical junction complex ,Any structural anomaly of the apical junction complex.,abnormal shape of apical junction complex
http://purl.obolibrary.org/obo/XPO_0101899,abnormal morphology of wound epidermis ,Any structural anomaly of the wound epidermis.,abnormal shape of wound epidermis
http://purl.obolibrary.org/obo/XPO_0101987,abnormal morphology of striatum ,Any structural anomaly of the striatum.,abnormal shape of striatum
http://purl.obolibrary.org/obo/XPO_0102992,abnormal morphology of interstitial cell of Leydig ,Any structural anomaly of the interstitial cell of Leydig.,abnormal shape of interstitial cell of Leydig
http://purl.obolibrary.org/obo/XPO_0100183,abnormal gastrocoel roof plate,Abnormality of gastrocoel roof plate.,abnormality of gastrocoel roof plate
http://purl.obolibrary.org/obo/XPO_0100271,abnormal mesonephric nephron,Abnormality of mesonephric nephron.,abnormality of mesonephric nephron
http://purl.obolibrary.org/obo/XPO_0102779,abnormal morphology of mm. constrictores branchiales III primordium ,Any structural anomaly of the mm. constrictores branchiales III primordium.,abnormal shape of mm. constrictores branchiales III primordium
http://purl.obolibrary.org/obo/XPO_0102867,abnormal morphology of lagena ,Any structural anomaly of the lagena.,abnormal shape of lagena
http://purl.obolibrary.org/obo/XPO_0102955,abnormal morphology of facies hyoidis of the palatoquadrate ,Any structural anomaly of the facies hyoidis of the palatoquadrate.,abnormal shape of facies hyoidis of the palatoquadrate
http://purl.obolibrary.org/obo/XPO_0100058,abnormal sclerotome,Abnormality of sclerotome.,abnormality of sclerotome
http://purl.obolibrary.org/obo/XPO_0100146,abnormal primary germ layer,Abnormality of primary germ layer.,abnormality of primary germ layer
http://purl.obolibrary.org/obo/XPO_0100234,abnormal anterior entopeduncular nucleus,Abnormality of anterior entopeduncular nucleus.,abnormality of anterior entopeduncular nucleus
http://purl.obolibrary.org/obo/XPO_0100322,abnormal m. obliquus superior primordium,Abnormality of m. obliquus superior primordium.,abnormality of m. obliquus superior primordium
http://purl.obolibrary.org/obo/XPO_0100410,abnormal foregut endoderm,Abnormality of foregut endoderm.,abnormality of foregut endoderm
http://purl.obolibrary.org/obo/XPO_0103696,Absent autopod in the regenerating hindlimb,Absence of the autopod in the regenerating hindlimb.,Missing autopod in the regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0101063,abnormal metencephalic artery,Abnormality of metencephalic artery.,abnormality of metencephalic artery
http://purl.obolibrary.org/obo/XPO_0101151,abnormal atrioventricular canal endocardium,Abnormality of atrioventricular canal endocardium.,abnormality of atrioventricular canal endocardium
http://purl.obolibrary.org/obo/XPO_0102918,abnormal morphology of keratinocyte ,Any structural anomaly of the keratinocyte.,abnormal shape of keratinocyte
http://purl.obolibrary.org/obo/XPO_0103659,abnormally formed right eye,An abnormally formed/malformed right eye.,malformed right eye
http://purl.obolibrary.org/obo/XPO_0103747,increased size of the tail region,An increase in the size of the tail region.,enlarged tail region
http://purl.obolibrary.org/obo/XPO_0103835,Decreased number of autopod in the regenerating forelimb,The presence of a reduced number of autopod in the regenerating forelimb.,Reduced number of autopod in the regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0101026,abnormal m. constrictor laryngis,Abnormality of m. constrictor laryngis.,abnormality of m. constrictor laryngis
http://purl.obolibrary.org/obo/XPO_0101114,abnormal forelimb digit 2,Abnormality of forelimb digit 2.,abnormality of forelimb digit 2
http://purl.obolibrary.org/obo/XPO_0101202,abnormal thymus,Abnormality of thymus.,abnormality of thymus
http://purl.obolibrary.org/obo/XPO_0102031,abnormal morphology of radio-ulna ,Any structural anomaly of the radio-ulna.,abnormal shape of radio-ulna
http://purl.obolibrary.org/obo/XPO_0107291,"abnormal ionocyte, beta subtype","Abnormality of ionocyte, beta subtype.","abnormality of ionocyte, beta subtype"
http://purl.obolibrary.org/obo/XPO_0100699,abnormal parachordal,Abnormality of parachordal.,abnormality of parachordal
http://purl.obolibrary.org/obo/XPO_0100787,abnormal posterior neural tube,Abnormality of posterior neural tube.,abnormality of posterior neural tube
http://purl.obolibrary.org/obo/XPO_0100875,abnormal oropharynx,Abnormality of oropharynx.,abnormality of oropharynx
http://purl.obolibrary.org/obo/XPO_0107254,abnormal neutrophil,Abnormality of neutrophil.,abnormality of neutrophil
http://purl.obolibrary.org/obo/XPO_0100963,abnormal trunk somite 4,Abnormality of trunk somite 4.,abnormality of trunk somite 4
http://purl.obolibrary.org/obo/XPO_0107342,abnormal morphology of lateral preplacodal ectoderm ,Any structural anomaly of the lateral preplacodal ectoderm.,abnormal shape of lateral preplacodal ectoderm
http://purl.obolibrary.org/obo/XPO_0101880,abnormal morphology of trunk somite 13 ,Any structural anomaly of the trunk somite 13.,abnormal shape of trunk somite 13
http://purl.obolibrary.org/obo/XPO_0100838,abnormal m. rectus posterior primordium,Abnormality of m. rectus posterior primordium.,abnormality of m. rectus posterior primordium
http://purl.obolibrary.org/obo/XPO_0100926,abnormal mm. constrictores branchiales II primordium,Abnormality of mm. constrictores branchiales II primordium.,abnormality of mm. constrictores branchiales II primordium
http://purl.obolibrary.org/obo/XPO_0107305,abnormal dorsal posterior hindgut endoderm,Abnormality of dorsal posterior hindgut endoderm.,abnormality of dorsal posterior hindgut endoderm
http://purl.obolibrary.org/obo/XPO_0101579,abnormal urethra,Abnormality of urethra.,abnormality of urethra
http://purl.obolibrary.org/obo/XPO_0101667,abnormal morphology of ventral animal hemisphere blastomere ,Any structural anomaly of the ventral animal hemisphere blastomere.,abnormal shape of ventral animal hemisphere blastomere
http://purl.obolibrary.org/obo/XPO_0101755,abnormal morphology of pelvic girdle ,Any structural anomaly of the pelvic girdle.,abnormal shape of pelvic girdle
http://purl.obolibrary.org/obo/XPO_0102496,abnormal morphology of dorsolateral ascending neuron ,Any structural anomaly of the dorsolateral ascending neuron.,abnormal shape of dorsolateral ascending neuron
http://purl.obolibrary.org/obo/XPO_0102584,abnormal morphology of dorsal septum ,Any structural anomaly of the dorsal septum.,abnormal shape of dorsal septum
